"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.223674875E0	2.450391065E-3	-2.997410651E-3	-1.533818221E-1	1.534306757E-1
2.233714875E0	-4.119781126E-3	-8.124048337E-3	-1.581718612E-1	1.584339308E-1
2.243755875E0	3.503979954E-3	-8.511170559E-3	-1.518849349E-1	1.521635677E-1
2.253795875E0	7.054424715E-3	-8.885584222E-3	-1.542805392E-1	1.546971340E-1
2.263805875E0	2.187825672E-3	-9.497120753E-3	-1.547307748E-1	1.550373972E-1
2.273845875E0	2.789738850E-3	-1.395967919E-3	-1.466481686E-1	1.466813441E-1
2.283885875E0	-4.382660008E-3	-7.625618884E-3	-1.488934994E-1	1.491530487E-1
2.293926875E0	-1.554082284E-3	5.144636147E-4	-1.490437728E-1	1.490527627E-1
2.303966875E0	-2.964120922E-3	-8.032338414E-4	-1.438052523E-1	1.438380401E-1
2.314006875E0	7.280301400E-3	-1.149434689E-3	-1.412599593E-1	1.414521124E-1
2.324016875E0	8.418968419E-4	-8.009095732E-3	-1.508400375E-1	1.510548619E-1
2.334056875E0	1.894779383E-3	-4.513145993E-3	-1.601213229E-1	1.601961195E-1
2.344097875E0	-7.170773458E-4	-7.347994912E-3	-1.550319064E-1	1.552076004E-1
2.354137875E0	1.079936477E-3	-1.513917223E-3	-1.506909335E-1	1.507024075E-1
2.364177875E0	6.895544903E-3	-4.253392573E-3	-1.554821420E-1	1.556930839E-1
2.374187875E0	2.804647823E-3	2.132315096E-4	-1.512920272E-1	1.513181715E-1
2.384227875E0	5.988650891E-4	1.415309412E-3	-1.575789535E-1	1.575864472E-1
2.394267875E0	-6.018712660E-3	1.803025492E-3	-1.611708981E-1	1.612933173E-1
2.404308875E0	2.600423538E-4	3.834622297E-3	-1.569801986E-1	1.570272419E-1
2.414348875E0	-2.493618776E-3	-7.571906727E-3	-1.505435836E-1	1.507545106E-1
2.424388875E0	-3.253926118E-3	7.194459820E-3	-1.494951779E-1	1.497035621E-1
2.434398875E0	2.702499135E-3	6.247384474E-4	-1.506926876E-1	1.507182136E-1
2.444419000E0	-1.514144202E-3	-1.637083339E-3	-1.611708981E-1	1.611863241E-1
2.454460000E0	1.305061132E-3	3.217284232E-3	-1.607224166E-1	1.607599120E-1
2.464500000E0	8.912456860E-3	4.126526266E-3	-1.523398483E-1	1.526561151E-1
2.474540000E0	3.081382150E-3	3.996443991E-3	-1.400653732E-1	1.401562530E-1
2.484580000E0	-4.016657712E-3	1.112149553E-3	-1.487473190E-1	1.488056965E-1
2.494590000E0	-3.879122806E-3	1.092424337E-4	-1.493460739E-1	1.493964836E-1
2.504631000E0	2.543344663E-3	3.823622223E-4	-1.468013656E-1	1.468238937E-1
2.514671000E0	1.710537558E-3	-4.063549927E-3	-1.577292269E-1	1.577908344E-1
2.524711000E0	-7.215989451E-3	-4.073663782E-3	-1.499448287E-1	1.501736225E-1
2.534751000E0	-4.688031131E-3	-4.136649258E-3	-1.523410177E-1	1.524692598E-1
2.544792000E0	1.475645083E-3	4.799997602E-3	-1.535379428E-1	1.536200422E-1
2.554801000E0	9.252387940E-4	-3.067330560E-3	-1.523398483E-1	1.523735343E-1
2.564842000E0	-6.739529883E-3	-6.750062294E-4	-1.450051010E-1	1.451632054E-1
2.574882000E0	1.484678289E-3	-1.614160426E-3	-1.481479794E-1	1.481642115E-1
2.584922000E0	3.179591961E-3	-7.435282879E-4	-1.499442440E-1	1.499797952E-1
2.594963000E0	3.685320726E-3	-1.098488996E-2	-1.354238534E-1	1.359186134E-1
2.605003000E0	6.560991663E-3	-7.246618811E-3	-1.485964608E-1	1.489176560E-1
2.615013000E0	6.010517422E-3	3.887594417E-3	-1.560814816E-1	1.562455395E-1
2.625053000E0	5.993239585E-3	-3.686477607E-3	-1.488964230E-1	1.490625836E-1
2.635093000E0	-2.317710375E-3	-5.203647343E-3	-1.487479037E-1	1.488569400E-1
